Region,Value,Year
Abai,73.8,2022
Akmola,73.48,2022
Aktobe,74.85,2022
Almaty,73.87,2022
Atyrau,74.66,2022
Batys Kazakhstan,73.76,2022
Zhambyl,74.87,2022
Zhetisu,74.38,2022
Karagandy,72.3,2022
Kostanai,72.68,2022
Kyzylorda,74.21,2022
Mangistau,75.83,2022
Pavlodar,72.9,2022
Soltustik Kazakhstan,72.27,2022
Turkistan*,75.04,2022
Ulytau,71.44,2022
Shygys Kazakhstan,72.37,2022
Astana city,77.3,2022
Almaty city,77.32,2022
Shymkent city,75.61,2022
